name,variants
Aadi,
Aakav,
Aakesh,
Aakil,
Aaliyah,"Aaliya, Aalyya, Aalyyah, Aliya, Aliyah, Alyia, Alyiah, Alyya, Alyyah"
Aalok,
Aamin,
Aanan,
Aanandini,Anada
Aandaleeb,
Aaron,"Aahron, Aharon, Ari, Arin, Arny, Arron, Haroun, Ron, Ronnie"
Aarona,"Ahronit, Arnina, Arninit"
Aasta,"Aastah, Asta, Astah"
Aatmadeva,
Aatmik,
Aba,
Ababuo,
Abadi,
Abagbe,
Abam,
Abarrane,Abame
Abasi,Abasie
Abayomi,
Abba,
Abban,
Abbas,
Abbott,"Ab, Abad, Abe, Abbe, Abbey"
Abda,
Abdul,"Ab, Abdel, Abdullah, Del"
Abebi,"Abebea, Abeebe, Abebie, Abeby"
Abedabun,
Abeeku,
Abejide,
Abeke,
Abel,"Abe, Abey, Abie, Able"
Abelard,"Abe, Abel"
Abelia,"Abella, Abelle (feminine of Abel)"
Abellona,
Abena,"Aba, Abana, Abena"
Abeo,
Abequa,Abequah
Abey,
Abeytu,
Abeytzi,
Abha,"Aabha, Abhaa"
Abhiraja,
Abi,"Abe, Abie"
Abia,
Abiah,"Abiel, Abija, Abisha, Aviya"
Abid,
Abida,
Abidemi,
Abigail,"Abaigeal (Irish), Abbagail, Abbie, Abby, Abegail, Abygail, Gael, Gail"
Abimbola,
Abinkanile,
Abiodun,
Abiola,
Abiona,
Abir,
Abir,
Abishur,
Abmaba,
Abner,"Ab, Abby, Abna, Abnar, Abnor, Avner, Eb, Ebby, Ebner"
Abornazine,Bornbazine
Abra,"Abrah, Abria, Abrya"
Abraham,"Abarran, Abby, Abe, Abrahamo, Abrahan, Abram, Abrami, Abramo, Abran, Arram, Avram, Avrom, Avrum, Bram, Ibrahim"
Abram,"Abe, Abie, Abramo, Avram, Bram"
Abriana,"Abriania, Abranna, Abrianne, Abriell, Abriella, Abrielle, Abryan, Abryana, Abryane, Abryann, Abryanna, Abryel, Abryela, Abryele, Abryelle"
Absalom,"Absolon, Solam, Solom, Soloman"
Abu,
Acacia,"Acayca, Cacia, Cacya, Casey, Casia, Cassie"
Acadia,
Acadia,
Acaija,
Acantha,
Acar,"Ackerlea, Ackerliegh, Ackley, Akerlee"
Accalia,
Ace,"Acer, Acie"
Aceline,Aceline
Acenith,
Acestes,
Achaius,
Achala,Achalaa
Acharon,
Achates,
Achav,Ahab
Achazya,"Achazia, Achaziah, Achazyahu, Ahaziah, Ahaziahu"
Achban,
Achelous,
Acher,
Acheron,
Achida,
Achilla,"Acila, Achile, Achille, Achyla, Achyle, Achylla, Achyelle"
Achilles,"Achill, Achille, Achillea, Akil, Akilles"
Achim,Acim
Achimelech,Ahimelech
Achisar,
Achishar,Ahishar
Achiya,"Achiyahu, Ahia, Ahiah"
Achsah,Achsa
Acim,"Achim, Akim"
Acima,
Ackerley,"Ackleigh, Ackley, Ackerleigh"
Actaeon,
Acton,
Ada,"Adda, Addi, Addia, Addie, Addy, Ade, Aida, Eda, Edna"
Adad,
Adael,Adiel
Adah,"Ada, Adan, Adda"
Adahy,
Adaiah,"Adaia, Adaya"
Adair,Adare
Adalard,Adelard
Adalfieri,
Adalheidis,"Aalt, Aaltje, Adalheid, Aleida, Alida"
Adalia,
Adalric,Adelric
Adam,"Ad, Adamo (Italian), Adams, Adan (Spanish), Adao (Portuguese), Addam, Addie, Addis, Addison, Addy, Ade, Adhamh, Adnet, Adnot, Ado (Estonian), Adomas (Lithuanian), Edam, Edem, Edim"
Adamina,"Ada, Addie, Mina"
Adamma,"Adama, Adamia, Adamine, Adamya"
Adamnan,Adhamhnan
Adamya,
Adan,
Adanna,"Adana, Adania, Adannia"
Adapa,
Adar,"Adair, Adaira, Adaire, Adara, Adare"
Adar,
Adara,
Adawna,
Addae,
Addison,"Ad, Adisson"
Addula,
Ade,
Adebayo,
Adeben,
Adebola,
Adedagbo,
Adejola,
Adel,Adal
Adelaide,"Ada, Adalada, Adalia (Spanish), Adaliah, Adan, Addalah, Addie, Addiah, Adelais, Adelajda (Polish), Adele, Adelhaid (German), Adelia, Adella, Adia, Aida, Adalia, Aline, Alyosha, Del, Della, Delly, Edelaid, Edeline, Eline, Heidi, Lady"
Adelar,"Adal, Adalar, Adalard, Adelard"
Adeleke,
Adelinda,"Adeline, Adelyne, Linda"
Adeline,"Adalina, Adelind, Adella, Aline, Dalina, Daline, Delina, Delly, Delyne, Edelie, Lina"
Adelpha,"Adelfa, Adelfe, Adelfia, Adelphe, Adelphia"
Aden,"Adan, Adin, Adon, Aidan, Aiden, Aidon, Aidun"
Adena,"Adeanam Adeane, Adeena, Adeene, Adenia, Adina, Adine, Adyna, Adyne, Dea, Dee, Dena, Din, Dina, Dinah, Dine, Dinee, Dyn, Dyna, Dyne"
Adeola,"Adola, Dola"
Ader,
Aderes,Aderet
Adesimbo,
Adesina,
Adesola,
Adham,
Adheesha,
Adhideva,
Adhika,
Adhita,
Adia,
Adiba,
Adiel,"Adiela, Adiele, Adiell, Adiella, Adielle, Adyel"
Adiella,
Adika,
Adil,"Adeel, Adill"
Adila,Adilah
Adilo,
Adima,
Adin,
Adina,"Adin, Adine, Dea, Dee, Dena, Dina"
Adinah,Adina
Adio,
Adir,
Adira,"Abira, Abirah, Abyra, Adirah, Adyra, Amiza, Amyza"
Adisa,
Aditi,Aditie
Aditsan,
Aditya,Aaditva
Adiv,
Adiva,
Adlai,
Adlai,"Ad, Addie, Adley"
Adler,"Ad, Addla, Adlar"
Adley,"Adlee, Adlie"
Admete,
Admon,
Adnah,
Adnan,
Adney,
Adoeete,"Adoerte, Adooeette"
Adofo,
Adolph,"Ad, Addofo (Spanish/Italian), Adof, Adolfius, Adolfo, Adolfus, Adolphe, Afolphus, Dolph, Dolphus"
Adolpha,"Adolfa, Adolfia, Adolfya"
Adom,
Adon,
Adoni,
Adonia,
Adoniah,"Adonia, Adonijah, Adoniya, Adoniyah"
Adonica,"Adonica, Doncia"
Adonis,
Adora,"Adorabelle, Adoree, Adoria, Dora, Dori, Dory"
Adorna,Adornia
Adowa,
Adra,Adara
Adrastea,"Adrasta, Adrastar"
Adri,Adrey
Adria,"Adrea, Adriah"
Adrian,"Ade, Adiran, Adrea, Adria, Adriana, Adriane, Adriano (Italian/Spanish), Adrie, Adryan, Arje (Dutch), Hadria, Hadrian, Hadrien, Hadrienne"
Adriane,"Adrea, Adrean, Adreana, Adriana, Adrianna, Adriannah, Adrien, Adriena, Adrienne"
Adriel,Adrial
Adsila,
Aduke,
Adunbi,
Adusa,
Adwele,
Adwin,
Adya,
Adzaan-Tsinajinnie,
Adzo,"Adjoa, Adwoa"
Ae-Cha,
Aeacus,
Aedus,
Aegeus,Aegis
Aegina,
Aegir,
Aegyptus,
Aenea,
Aeneas,"Aineas, Eneas, Enne"
Aeolus,
Aerona,
Aeson,
Aetios,
Afa,
Afaf,
Afafa,
Afei,
Afi,
Afif,
Afiya,
Afra,"Affera, Affery, Afria, Aphina, Aphra"
Afraima,
Afram,
Africa,"Afprica, Aifric, Apirka, Apirkah"
Afryea,
Afton,"Aften, Aftona, Aftonia"
Afu,
Afua,
Afuvale,
Agalia,
Aganju,
Agapi,Agapa
Agapios,
Agastya,Agastia
Agate,Agata
Agatha,"Aagje (Dutch), Agace, Agacia, Aggie, Agata, Agota, Agueda (Spanish), Apka, Atka, Gasha (Slavic)"
Agathias,
Agatho,
Agave,Agava
Aglaia,Aglae (French)
Agnes,"Agnela, Agnesca (Italian), Agnessa (Russian), Agneta, Anais, Annis, Inez, Necia, Nessa, Nessie, Neysa, Nesa, Nesta, Neza, Neziko, Niesje (Dutch), Nyusha (Russian)"
Agni,
Agnola,"Agnolla, Agnolle"
Agnolo,
Agostino,Agostine
Agrey,Agray
Agrippa,"Agrafina, Agrippine"
Agu,
Ah Kum,
Ah Lam,
Ah-Yoka,
Ahab,Achav
Ahalya,
Ahanu,
Aharnish,
Ahauano,
Ahava,"Ahuda, Ahuva"
Ahawi,
Ahdik,Ahdic
Ahern,"Ahearn, Aherin, Aherne, Hearn, Hearne, Herin, Hern, Herne"
Ahia,
Ahilya,
Ahimeleka,
Ahimsa,
Ahio,
Ahlam,
Ahmed,"Achmad, Achmed, Ahmad, Amed"
Ahohako,
Aholelei,
Aholo,
Ahomana,
Ahonui,
Ahopomee,
Ahsan,"Ehsan, Ihsan"
Ahsan,
Ahu,
Ahuda,
Ahulani,Ahulania
Ahusaka,
Ahyoka,
Ai,
Aiakos,
Aibhlin,"Abblin, Ailbhe"
Aida,"Aidan, Iraida"
Aidan,"Adan, Adana, Adene, Aidana, Aiden, Aydana, Edan, Edana, Eden"
Aideen,"Adene, Etain"
Aikane,Aikan
Aiken,"Aicken, Aikin, Aykin"
Aiko,
Aiko,
Aila,"Aile, Ailee, Ailey, Aili, Ailis, Ailse"
Ailaina,"Alaine, Alanis"
Ailani,
Ailbhe,"Alva, Alvy, Elva, Elvy"
Aileen,"Aila, Ailean, Ailee, Ailene, Ailey, Ailli, Ailie, Aleen, Aline, Eileen, Ileana, Ilene, Leana, Lena, Liana, Lina, Lyan"
Ailesh,
Ailill,
Ailith,"Aldith, Aldis"
Ailpean,"Ailpein, Alpine"
Ailsa,"Elsa, Elshe"
Aime,
Aimee,Aimie
Aimery,"Aimerey, Aimeric, Aymeric, Imre"
Aimiliona,
Aimon,"Aimond, Aymon, Haimon, Heman"
Ain,
Aina,
Aina,
Ainakea,
Ainalan,
Aine,"Aithne, Ayn, Eithne, Ena"
Ainmire,
Aino,
Ainsley,"Ainslea, Ainsleigh, Ansley, Aynslee, Aynslie"
Airlea,Airleigh
Airleas,
Aisake,
Aisea,
Aisha,"Asha, Ashia, Asia"
Aisha,"Aesha, Aiesha, Aishah, Aisia, Asha, Ashia, Asia, Ayeesha, Ayeisa, Ieasha, Yiesha"
Aisi,
Aislinn,"Aisling, Aissah, Ashling, Isleen"
Aithne,"Aine, Aithnea, Eithne, Ena, Ethnea"
Aiyana,Ayana
Aiyetoro,
Aja,"Ajaran, Ajha, Ajia"
Ajala,
Ajalaa,
Ajanabh,
Ajani,
Ajax,
Ajei,
Ajeya,
Ajua,
Ajuji,
Akahana,
Akahele,
Akako,
Akako,
Akala,
Akalanka,
Akama,Akam
Akamai,
Akamu,Adamu
Akando,
Akanesi,
Akanke,
Akanni,
Akar,Akare
Akash,Akasha
Akasma,
Akasuki,
Akaula,
Akbar,
Ake,Age
Akecheta,
Akela,Akeia
Akeliela,Aderiela
Akelin,"Akeline, Aquila"
Akemi,Akeno
Akeno,
Akhila,
Akhilendra,
Aki,Akeia
Akihiko,"Akio, Akira"
Akihito,
Akiiki,
Akiko,
Akil,
Akilah,
Akilesh,
Akili,Akilea
Akiliano,Adiriano
Akilina,Aquilina
Akim,"Achim, Ackim, Akeem"
Akima,
Akinlabi,
Akinlana,Akins
Akins,"Akin, Atkin, Atkins"
Akio,
Akira,Akio
Akiva,"Kiba, Kiva, Kivi"
Akiyama,Akima
Akma,Akmara
Akmal,
Akolo,
Akoniia,Adoniia
Akono,
Akosua,
Akshan,
Akshay,
Akua,
Akule,Akul
Akuna,
Akwetee,
Akwokwo,
Ala,
Ala,
Alaba,
Aladdin,"Aladdan, Aladden, Aladin"
Alahmoot,
Alaia,
Alaine,"Alaina, Alenne"
Alaire,"Alair, Helier, Hilare, Larie"
Alaka'i,
Alake,
Alala,
Alam,
Alame,
Alamea,
Alameda,
Alan,"Ailean, Ailin (Irish), Al, Alain (French), Alair, Aland, Alano (Italian), Alein, Alin, Allan, Allayne, Alleyn, Alun"
Alana,"Alaina, Alani, Alanna, Alayne, Alene, Allane, Lana"
Alani,Alania
Alanna,"Alaine, Alannah, Allena, Allene, Aleynah, Allyn, Alina, Lana, Shalana"
Alaqua,
Alard,"Adlar, Adlard, Al, Allard"
Alaric,"Airik (Swedish), Al, Alarich, Alarick, Alarico (Spanish), Aleric, Alric, Ulrich, Ulrick"
Alarice,Alarica
Alastair,"Al, Alasdair, Alaster, Allistair, Alsandair (Irish), Alysdair, Alyster"
Alastrina,Alastriona
Alauda,
Alaula,
Alba,
Alba,"Albane, Albina, Albine, Albinia, Albinka, Alva"
Alban,"Al, Albain, Albany, Albie, Albin, Albinet, Albion, Alby, Alvin, Alvy, Auban, Aubin"
Alberga,Alberge
Albern,Alburn
Albert,"Adalbert, Adalbrecht, Adelbert, Ailbert, Al, Albertino (Italian), Alberto, Albie, Albrecht (German), Albret (French), Aubert, Bert, Bertal, Bertie, Delbert, Elbert, Imbert, Ulbricht"
Alberta,"Albertina, Ali, Auberta, Auberte, Aubertha, Aubine, Berrie, Bert, Berta, Bertie, Elberta, Elbertine"
Albin,"Al, Alban (Irish), Albinson, Alpin, Alva, Aubin"
Albina,"Alba, Albania (Italian), Albinia (Italian), Aubine (French)"
Albion,
Albreda,
Alcander,Alcinder
Alcestis,
